system:time_start,p25,Median,IQR,Left date,Right date
"Jul 11, 2018",34.456,34.661,34.866,,
"Jul 20, 2018",27.705,27.827,27.949,,
"Jul 29, 2018",29.652,30.293,30.934,,
"Aug 7, 2018",27.283,27.591,27.921,,
"Aug 16, 2018",25.052,26.327,27.695,,
"Aug 25, 2018",25.804,27.397,29.248,,
"Sep 3, 2018",27.514,30.626,33.947,,
"Sep 12, 2018",25.456,30.292,34.584,,
"Sep 21, 2018",28.482,33.775,39.803,,
"Sep 30, 2018",34.663,40.918,47.018,,
"Oct 9, 2018",29.955,35.569,41.623,,
"Oct 18, 2018",33.536,39.061,45.48,,
"Oct 27, 2018",32.351,39.146,50.945,,
"Nov 5, 2018",29.776,35.296,47.823,,
"Nov 14, 2018",34.68,41.003,49.719,,
"Nov 23, 2018",35.211,40.997,47.473,,
"Dec 2, 2018",38.603,44.122,49.758,,
"Dec 11, 2018",36.682,40.685,45.459,,
"Dec 20, 2018",35.51,40.181,44.961,,
"Dec 29, 2018",31.7,35.731,39.974,,
"Jan 7, 2019",33.536,40.927,58.776,,
"Jan 16, 2019",32.679,38.519,45.467,,
"Jan 25, 2019",30.736,38.183,75.189,,
"Feb 3, 2019",31.349,37.949,48.092,,
"Feb 12, 2019",26.353,29.796,33.312,,
"Feb 21, 2019",18.514,24.356,32.129,,
"Mar 2, 2019",21.174,25.088,28.821,,
"Mar 11, 2019",27.031,31.999,37.072,,
"Mar 20, 2019",28.696,33.917,39.525,,
"Mar 29, 2019",36.425,41.069,46.019,,
"Apr 7, 2019",34.473,39.955,45.286,,
"Apr 16, 2019",34.695,43.037,50.085,,
"Apr 25, 2019",39.844,45.613,51.795,,
"May 4, 2019",37.853,43.262,50.631,,
"May 13, 2019",38.42,48.296,57.784,,
"May 22, 2019",36.828,43.479,51.404,,
"May 31, 2019",40.508,48.182,58.03,,
"Jun 9, 2019",51.248,58.388,68.424,,
"Jun 18, 2019",45.719,51.612,58.127,,
"Jun 27, 2019",48.359,56.032,65.858,,
"Jul 6, 2019",29.445,29.833,30.221,,
"Jul 15, 2019",28.444,30.788,33.338,,
"Jul 24, 2019",39.473,39.632,39.792,,
"Aug 2, 2019",27.399,29.617,31.952,,
"Aug 11, 2019",24.36,27.267,30.026,,
"Aug 20, 2019",27.366,30.242,32.823,,
"Aug 29, 2019",23.929,27.604,31.527,,
"Sep 7, 2019",21.785,24.495,27.275,,
"Sep 16, 2019",31.692,37.529,46.195,,
"Sep 25, 2019",30.196,30.286,30.377,,
"Oct 4, 2019",23.955,28.442,33.386,,
"Oct 13, 2019",23.65,27.803,32.108,,
"Oct 22, 2019",31.739,31.739,31.739,,
"Oct 31, 2019",24.342,27.518,30.982,,
"Nov 9, 2019",30.409,34.933,39.325,,
"Nov 18, 2019",27.883,31.81,36.394,,
"Nov 27, 2019",33.562,39.288,49.14,,
"Dec 6, 2019",32.054,36.074,40.544,,
"Dec 15, 2019",25.041,25.041,25.041,,
"Dec 24, 2019",32.926,35.824,38.927,,
"Jan 2, 2020",26.536,31.002,37.947,,
"Jan 11, 2020",29.278,32.723,36.359,,
"Jan 20, 2020",23.251,28.488,38.155,,
"Jan 29, 2020",26.545,31.148,36.565,,
"Feb 7, 2020",23.193,28.039,33.198,,
"Feb 15, 2020",,,,0,
"Feb 16, 2020",26.455,30.58,34.988,,
"Feb 25, 2020",20.519,23.29,26.15,,
"Mar 5, 2020",21.294,25.822,30.647,,
"Mar 14, 2020",16.772,24.339,32.138,,
"Mar 23, 2020",24.889,30.227,37.916,,
"Apr 1, 2020",22.394,27.902,34.017,,
"Apr 10, 2020",25.455,33.925,41.313,,
"Apr 19, 2020",33.465,40.15,47.348,,
"Apr 28, 2020",32.531,40.786,51.259,,
"May 7, 2020",29.498,34.775,40.766,,
"May 16, 2020",34.744,42.027,49.776,,
"May 25, 2020",35.635,42.012,49.899,,
"Jun 3, 2020",30.701,34.281,38.001,,
"Jun 12, 2020",28.6,32.522,36.515,,
"Jun 21, 2020",22.163,23.897,25.635,,
"Jun 30, 2020",37.824,39.305,40.786,,
"Jul 9, 2020",28.017,28.244,28.471,,
"Jul 18, 2020",27.314,29.304,31.693,,
"Jul 27, 2020",21.606,21.606,21.606,,
"Aug 5, 2020",27.494,30.439,33.873,,
"Aug 14, 2020",19.544,22.255,25.114,,
"Aug 23, 2020",20.172,22.718,25.267,,
"Sep 1, 2020",22.375,26.213,31.338,,
"Sep 10, 2020",28.661,31.824,35.32,,
"Sep 19, 2020",38.582,40.556,42.55,,
"Sep 28, 2020",17.872,21.521,25.446,,
"Oct 7, 2020",24.76,28.451,32.475,,
"Oct 16, 2020",22.992,28.411,34.445,,
"Oct 25, 2020",31.565,35.677,40.12,,
"Nov 3, 2020",33.463,38.161,43.142,,
"Nov 12, 2020",30.428,34.397,38.452,,
"Nov 21, 2020",31.461,36.806,42.2,,
"Nov 30, 2020",43.677,49.862,56.907,,
"Dec 9, 2020",34.077,39.039,45.002,,
"Dec 18, 2020",32.533,37.252,43.466,,
"Dec 27, 2020",32.749,37.06,42.031,,
"Jan 5, 2021",36.495,43.822,57.604,,
"Jan 14, 2021",26.824,31.85,38.457,,
"Jan 23, 2021",34.292,38.5,43.813,,
"Feb 1, 2021",32.541,38.336,45.252,,
"Feb 10, 2021",26.342,31.1,36.32,,
"Feb 19, 2021",29.558,35.379,41.57,,
"Feb 28, 2021",30.78,36.551,42.353,,
"Mar 9, 2021",31.916,39.236,48.94,,
"Mar 18, 2021",34.436,39.849,45.581,,
"Mar 27, 2021",35.832,42.105,49.001,,
"Apr 5, 2021",30.746,36.698,42.496,,
"Apr 14, 2021",34.633,41.15,48.618,,
"Apr 23, 2021",37.367,43.327,49.885,,
"May 2, 2021",44.066,50.45,57.693,,
"May 11, 2021",36.519,43.237,51.986,,
"May 20, 2021",23.867,35.545,49.32,,
"May 29, 2021",29.043,36.752,44.528,,
"Jun 7, 2021",32.101,39.44,48.695,,
"Jun 16, 2021",43.409,43.481,43.554,,
"Jun 25, 2021",28.563,29.336,30.121,,
"Jul 4, 2021",42.997,44.241,45.481,,
"Jul 13, 2021",27.563,30.758,33.72,,
"Jul 22, 2021",33.058,35.479,38.755,,
"Jul 31, 2021",30.801,32.101,33.475,,
"Aug 9, 2021",36.714,38.72,40.875,,
"Aug 18, 2021",26.988,30.675,34.239,,
"Aug 27, 2021",23.971,26.365,28.897,,
"Sep 5, 2021",25.172,30.645,36.27,,
"Sep 14, 2021",26.38,32.63,39.785,,
"Sep 23, 2021",26.429,31.382,36.602,,
"Oct 2, 2021",28.69,33.67,38.802,,
"Oct 11, 2021",27.02,33.753,40.223,,
"Oct 20, 2021",33.441,41.129,51.588,,
"Oct 29, 2021",27.131,34.882,42.78,,
"Nov 7, 2021",32.26,38.911,46.863,,
"Nov 16, 2021",29.076,34.339,40.177,,
"Nov 25, 2021",33.018,42.299,51.501,,
"Dec 4, 2021",36.895,43.343,52.263,,
"Dec 13, 2021",34.885,40.464,46.357,,
"Dec 22, 2021",30.41,35.167,41.012,,
"Dec 31, 2021",32.996,34.339,35.682,,
"Jan 9, 2022",25.648,29.237,32.615,,
"Jan 18, 2022",21.626,27.715,37.19,,
"Jan 27, 2022",26.804,32.447,37.887,,
"Feb 5, 2022",25.701,30.843,37.237,,
"Feb 14, 2022",21.773,26.614,31.823,,
"Feb 23, 2022",27.602,35.008,44.032,,
"Mar 4, 2022",29.804,34.893,40.339,,
"Mar 13, 2022",34.073,41.096,49.676,,
"Mar 22, 2022",34.817,41.315,49.997,,
"Mar 31, 2022",37.973,45.232,53.412,,
"Apr 9, 2022",46.522,52.148,59.362,,
"Apr 18, 2022",42.235,47.686,53.902,,
"Apr 27, 2022",41.026,48.5,57.241,,
"May 6, 2022",41.546,51.169,73.631,,
"May 15, 2022",39.383,44.873,51.147,,
"May 24, 2022",35.311,41.841,50.612,,
"Jun 2, 2022",49.894,57.16,65.418,,
"Jun 11, 2022",49.064,55.232,62.552,,
"Jun 20, 2022",50.453,55.482,61.185,,
"Jun 29, 2022",41.952,42.149,42.345,,
"Jul 8, 2022",29.058,32.723,36.477,,
