alpha,gamma,epsilon,converged,mean_final_err
0.1,0.4,0.0,0,137.77305130252088
0.1,0.4,0.1,0,129.8411866456448
0.1,0.4,0.2,0,132.1995765452112
0.1,0.6,0.0,0,126.5692309558251
0.1,0.6,0.1,0,133.73893479412015
0.1,0.6,0.2,0,126.31385071865301
0.1,0.8,0.0,1,135.09906219606682
0.1,0.8,0.1,0,126.82158233748024
0.1,0.8,0.2,0,130.1343103915228
0.3,0.4,0.0,0,125.13558133119224
0.3,0.4,0.1,0,135.74220342776434
0.3,0.4,0.2,0,132.31418769201534
0.3,0.6,0.0,0,132.62239470207248
0.3,0.6,0.1,0,130.74488271579696
0.3,0.6,0.2,0,126.40573390017838
0.3,0.8,0.0,0,130.0561145376044
0.3,0.8,0.1,0,141.49475901367657
0.3,0.8,0.2,0,134.02613336411227
0.5,0.4,0.0,1,127.87477964552352
0.5,0.4,0.1,0,129.14685503832573
0.5,0.4,0.2,0,128.14335907919994
0.5,0.6,0.0,0,131.16702739017293
0.5,0.6,0.1,0,131.94573323724802
0.5,0.6,0.2,0,116.47241295384359
0.5,0.8,0.0,0,127.94912043294296
0.5,0.8,0.1,0,130.74013236368674
0.5,0.8,0.2,0,131.4702929366339
