Subject,Converged,Final_Angular_Error,State_Path
1,False,84.38,mellow → depressing → melancholy → mellow → sentimental → lovely → cheerful
2,False,118.39,mellow → cheerful → lovely → cheerful → lovely → cheerful → lovely
3,False,110.2,mellow → depressing → cheerful → lovely → mellow → depressing → cheerful
4,False,178.19,mellow → sentimental → melancholy → mellow → melancholy → mellow → melancholy
5,False,167.43,mellow → depressing → cheerful → love → cheerful → love → cheerful
6,False,155.07,mellow → lovely → cheerful → love → cheerful → love → lovely
7,False,170.38,mellow → depressing → lovely → cheerful → lovely → cheerful → lovely
8,False,161.94,mellow → depressing → melancholy → sentimental → mellow → depressing → melancholy
9,False,144.05,mellow → sentimental → sentimental → melancholy → mellow → melancholy → sentimental
10,False,65.92,mellow → cheerful → love → lovely → love → lovely → love
11,False,248.03,mellow → sentimental → lovely → depressing → melancholy → mellow → sentimental
12,False,113.45,mellow → depressing → sentimental → mellow → depressing → sentimental → mellow
13,False,160.88,mellow → sad → shock → terrible → shock → terrible → shock
14,False,80.96,mellow → depressing → sentimental → mellow → sentimental → lovely → cheerful
15,False,320.5,mellow → depressing → sentimental → lovely → cheerful → love → sentimental
16,False,259.93,mellow → melancholy → depressing → melancholy → sentimental → mellow → melancholy
17,False,145.13,mellow → sentimental → mellow → sentimental → mellow → melancholy → mellow
18,False,270.41,mellow → sentimental → lovely → mellow → sentimental → mellow → lovely
19,False,137.69,mellow → depressing → melancholy → mellow → depressing → sentimental → mellow
20,False,151.58,mellow → depressing → melancholy → mellow → depressing → melancholy → mellow
21,False,109.09,mellow → sentimental → mellow → sentimental → lovely → sentimental → lovely
22,False,237.28,mellow → melancholy → depressing → melancholy → sentimental → mellow → melancholy
23,False,55.46,mellow → melancholy → sentimental → lovely → love → cheerful → love
24,False,157.82,mellow → depressing → melancholy → sentimental → mellow → melancholy → depressing
25,False,238.56,mellow → melancholy → mellow → melancholy → sentimental → mellow → melancholy
26,False,147.27,mellow → cheerful → lovely → cheerful → lovely → cheerful → lovely
27,False,203.59,mellow → sentimental → melancholy → mellow → melancholy → mellow → melancholy
28,False,227.66,mellow → depressing → melancholy → mellow → melancholy → mellow → melancholy
29,False,166.38,mellow → melancholy → depressing → melancholy → mellow → melancholy → depressing
30,False,139.73,mellow → sentimental → mellow → sentimental → mellow → sentimental → mellow
31,False,69.72,mellow → lovely → cheerful → lovely → cheerful → lovely → cheerful
32,False,53.52,mellow → depressing → lovely → cheerful → love → cheerful → love
