subject,start,final_err,converged,path,playlist
1,mellow,146.19710880724804,False,mellow -> mellow -> melancholy -> melancholy -> melancholy -> melancholy -> melancholy,"17,17,11,11,11,11"
2,sentimental,159.19777886015393,False,sentimental -> sentimental -> melancholy -> melancholy -> terrible -> depressing -> terrible,"14,14,31,31,10,31"
3,fun,18.05869988259174,False,fun -> fun -> happy -> fun -> happy -> fun -> fun,"0,0,37,0,37,0"
4,terrible,167.7815832213139,False,terrible -> melancholy -> melancholy -> melancholy -> melancholy -> melancholy -> melancholy,"10,23,23,23,23,23"
5,lovely,69.36828993742105,False,lovely -> mellow -> lovely -> mellow -> lovely -> mellow -> lovely,"4,17,4,17,4,17"
6,sad,17.10636418496305,False,sad -> lovely -> love -> love -> love -> love -> love,"11,5,37,37,37,37"
7,fun,159.65722450646902,False,fun -> happy -> cheerful -> depressing -> sad -> melancholy -> terrible,"8,34,23,15,13,33"
8,love,61.49460363145912,False,love -> fun -> love -> fun -> love -> fun -> cheerful,"20,9,20,9,20,9"
9,happy,166.1952572092273,False,happy -> love -> fun -> terrible -> exciting -> sad -> melancholy,"15,29,31,7,14,18"
10,lovely,169.97280515674944,False,lovely -> mellow -> sentimental -> mellow -> melancholy -> melancholy -> melancholy,"31,10,31,10,34,34"
11,love,83.52916826459332,False,love -> fun -> lovely -> mellow -> lovely -> mellow -> lovely,"35,14,28,12,28,12"
12,joy,164.13288704515475,False,joy -> fun -> love -> exciting -> terrible -> melancholy -> melancholy,"26,15,35,10,5,14"
13,shock,160.68902657873463,False,shock -> terrible -> melancholy -> melancholy -> melancholy -> melancholy -> melancholy,"11,3,12,12,12,12"
14,love,131.93192832823198,False,love -> depressing -> terrible -> hate -> terrible -> fun -> depressing,"33,31,10,32,10,24"
15,shock,161.33498446649526,False,shock -> hate -> terrible -> hate -> melancholy -> melancholy -> melancholy,"18,8,2,8,20,20"
16,happy,155.12460565234687,False,happy -> love -> depressing -> depressing -> sentimental -> melancholy -> melancholy,"22,23,35,35,14,27"
17,fun,138.74620574208862,False,fun -> love -> lovely -> sentimental -> sentimental -> mellow -> melancholy,"16,20,18,28,28,13"
18,fun,108.50896497232121,False,fun -> fun -> love -> lovely -> mellow -> lovely -> mellow,"15,15,25,4,17,4"
19,cheerful,178.48701835557318,False,cheerful -> mellow -> sentimental -> mellow -> melancholy -> melancholy -> melancholy,"2,17,25,17,35,35"
20,fun,155.22564824881627,False,fun -> exciting -> hate -> melancholy -> melancholy -> melancholy -> melancholy,"37,10,6,31,31,31"
21,lovely,175.35196762357435,False,lovely -> mellow -> mellow -> mellow -> melancholy -> melancholy -> melancholy,"20,17,17,17,36,36"
22,lovely,161.97606769221204,False,lovely -> sad -> melancholy -> melancholy -> terrible -> melancholy -> terrible,"35,2,31,31,39,31"
23,hate,116.83655031129557,False,hate -> melancholy -> mellow -> mellow -> mellow -> mellow -> mellow,"36,11,29,29,29,29"
24,melancholy,159.7846284813723,False,melancholy -> melancholy -> terrible -> melancholy -> terrible -> melancholy -> terrible,"27,27,18,27,18,27"
25,shock,163.28885136700788,False,shock -> shock -> shock -> shock -> terrible -> melancholy -> terrible,"17,17,17,17,11,34"
26,sentimental,159.55262992425267,False,sentimental -> mellow -> melancholy -> melancholy -> melancholy -> melancholy -> melancholy,"9,2,27,27,27,27"
27,cheerful,148.87796284549037,False,cheerful -> mellow -> melancholy -> melancholy -> melancholy -> melancholy -> melancholy,"22,10,31,31,31,31"
28,cheerful,123.12628771565859,False,cheerful -> melancholy -> mellow -> lovely -> lovely -> cheerful -> sentimental,"36,16,10,13,13,36"
29,happy,142.88038256156943,False,happy -> sentimental -> mellow -> melancholy -> terrible -> melancholy -> terrible,"37,14,13,31,14,31"
30,love,101.79004029380022,False,love -> mellow -> mellow -> mellow -> mellow -> mellow -> mellow,"5,13,13,13,13,13"
31,shock,29.321308978430444,False,shock -> fun -> happy -> joy -> happy -> happy -> joy,"10,12,35,11,35,35"
32,terrible,153.82320524314886,False,terrible -> melancholy -> melancholy -> terrible -> melancholy -> melancholy -> terrible,"14,23,23,14,23,23"
